ID,Name,2012-08-18 12:10,2012-08-18 12:20,2012-08-18 12:30,2012-08-18 12:40,2012-08-18 12:50,2012-08-18 13:00
AFO2,分布板氧浓度,99.99,99.99,0,20.99,20.99,20.98
AHO2,环管氧浓度,0.43,0.2,20.99,0.5,0.55,0.48
APO2,喷嘴氧浓度,55.97,5.62,5.85,20.74,20.41,20.13
AZO2,中心管氧浓度,46.09,43.14,0.07,19.24,19.68,18.66
FA-201,环管空气量,9.08,9.08,9.08,463,6.73,5.86
FA-202,中心管空气量,0,0,0,203.17,153.74,0
FA-203,分布板空气量,0,0,0,448.35,1274.35,0.36
FA-204,气流床空气量,53.52,109.1,141.14,459.29,157.65,101.97
FI-0211,环管蒸汽流量,599.51,633.08,480.46,141.02,739.31,749.69
FIR-0219,进煤斗氮气流量,208.64,254.84,177.28,87.91,0,0
FIR-0227,文丘里煤气冷却水量,0,0,0,0,0,0
FIR-0301,水洗塔后煤气流量,0,0,0,0,0,108.42
FIR-0701,工艺循环低压给水总管流量,18.86,12.78,18.86,18.84,19.27,2.19
FIR-0702,工艺循环高压给水总管流量,164.98,167.03,175.97,55.67,33.55,31.79
FIR-0801,工艺循环给水总管流量,0,0,0,0,0,0
FIR-0802,工艺循环回水总管流量,0,0,0,0,0,0
FIR-6113,加料输送罐流化气流量,13.4,2.2,2.21,2.21,2.21,2.17
FIR-6114,加料管道吹送气流量,12.96,0,0,0,0,0
FIRC-0220,上灰斗进灰口蒸汽量,0,0,0,0,0,0
FIRC-0221,循环泵出口流量2,0,0,0,0,0,0
FIRC-1605,喷嘴细粉流量,0,0,0,0,0,0
FN-205,进煤斗V0205吹送气量,198.38,197.5,201.31,0,0,0
FN-206,进煤斗V0204吹送气量,178.46,179.04,183.44,1.75,1.75,1.46
FO-207,环管氧气量,0,0,0,0,0,0
FO-208,中心管氧气量,855.82,754.82,1.61,1.07,1.61,1.07
FO-209,分布板氧气量,86.69,100.36,0,0,0,0
FO-210,气流床氧气量,228.76,0.19,0,0,0,0
FS-1205,进煤吹送蒸汽量1205,12.69,12.69,12.21,4.63,4.15,4.39
FS-1206,进煤吹送蒸汽量1206,0,0,0,0,0,0
FS-1211,环管蒸汽量微调,721.61,173.62,80.83,23.19,21.48,22.71
FS-1212,中心管蒸汽量微调,0,0,0,0,0,0
FS-1213,分布板蒸汽量微调,899.63,975.09,1680.95,0,0,0
FS-1214,气流床低压蒸汽量,0.12,0.12,0.12,0.12,0.12,0.12
FS-211,环管蒸汽量,321.12,671.55,437.11,221,199.63,188.03
FS-212,中心管蒸汽量,783.88,798.53,1252.74,18.07,13.18,15.62
FS-213,分布板蒸汽量,0,0,0,0,0,0
FS-214,气流床蒸汽量,76.67,335.4,410.86,4.63,3.41,3.41
FS-215,一旋吹送蒸汽量,150.42,157.75,225.64,0,0,0
FS-6402,气流床下吹送蒸汽量,212.38,236.63,245.12,4.46,2.78,2.34
FT-1207,气化炉开工油量指示,0.07,0.07,0.07,0.07,0.07,0.07
FT-1301,煤气总量指示,5352.08,5232.52,3268.57,2607.47,1216.7,808.79
GQB,气流床输送斗固气比,9.66,-7.97,0,-11.92,-7.94,-4.04
GQBZ,两斗重量之固气比,9.66,-1.32,6.62,-5.29,-1.32,-4.04
KIC-0220,一料腿开度,5.59,5.59,0.68,0.63,0.63,0.63
LH-0205,平衡斗V0203料位,0,0,0,0,0,0
LH-0207,进煤斗V0205料位,1.31,1.11,0.95,0.87,0.88,0.88
LH-0226,气流床输送斗V0606料位,0.26,0.03,0.17,0.26,0.26,0.26
LICA-0201,上灰斗液位,600,600,600,600,600,600
LICA-0202,污循环水高位槽水位,1044.87,1249.69,1217.33,604.09,682.84,744.81
LICA-0203,汽包液位,429.01,430.91,408.93,463.88,566.15,545.93
LICA-0301,水洗塔液位,1782.85,1757.8,1723.51,1879.12,977.8,379.12
LICA-0302,闪蒸塔液位,0,0,0,673.18,0,0
LICA-0303,汽水分离器液位,96.82,99,518.97,0,0,0
LICA-1201,上灰斗液位-2,828.71,824.42,879.51,904.12,820.51,640
MFO2,低压蒸汽分布板氧浓度,6.89,7.07,0,20.99,20.99,20.94
MHO2,低压蒸汽环管氧浓度,0.19,0.79,1.62,19.19,3.85,3.54
MZO2,低压蒸汽中心管氧浓度,99.99,99.99,99.9,21.46,21.83,99.9
NFO2,分布板氧浓度N,99.99,99.99,0,0,0,0
NHO2,环管氧浓度N,0,0,0,0,0,0
NZO2,中心管氧浓度N,45.34,40.58,0.06,0.52,0.94,4.89
PDI-0603,细粉输送斗与喷嘴压差,173.95,119.01,797.97,958.74,1004.76,1016.96
PDI-0604,喷嘴与气流床压差,86.79,282.34,498.9,1075.43,1140.74,1159.79
PDICA-0223,进煤斗与气化炉压差,54.13,60,60,60,60,60
PDICA-0224,进煤斗与气化炉压差,47.88,51.09,60,60,60,60
PDIR-0225,气化炉压差,1.2,2.26,6.54,8.53,11.46,10.83
PDIR-0226,一旋压差,0,0,0,0,0.04,0.25
PDIR-0227,一旋压差,0,0,0,0,0,0
